kepid,tm_designation,teff,teff_err1,teff_err2,logg,logg_err1,logg_err2,feh,feh_err1,feh_err2,mass,mass_err1,mass_err2,radius,radius_err1,radius_err2,dens,dens_err1,dens_err2,prov_sec,kepmag,limbdark_coeff1,limbdark_coeff2,limbdark_coeff3,limbdark_coeff4,dist,dist_err1,dist_err2,nconfp,nkoi,ntce,datalink_dvr,st_delivname,st_vet_date_str,ra,dec,st_quarters,teff_prov,logg_prov,feh_prov,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,dutycycle,dataspan,mesthres01p5,mesthres02p0,mesthres02p5,mesthres03p0,mesthres03p5,mesthres04p5,mesthres05p0,mesthres06p0,mesthres07p5,mesthres09p0,mesthres10p5,mesthres12p0,mesthres12p5,mesthres15p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,av,av_err1,av_err2,dutycycle_post,dataspan_post,timeout01p5,timeout02p0,timeout02p5,timeout03p0,timeout03p5,timeout04p5,timeout05p0,timeout06p0,timeout07p5,timeout09p0,timeout10p5,timeout12p0,timeout12p5,timeout15p0,timeoutsumry,cdppslplong,cdppslpshrt,KIC,Gaia,Teff,e_Teff,D,E_D,e_D,R*,E_R*,e_R*,AV,Evol,Bin,dist_DR25,dist_DR25_err1,dist_DR25_err2,radius_DR25,radius_DR25_err1,radius_DR25_err2
11770410,2MASS J19413804+4957223,3802,76.0,-76.0,4.7360000000000015,0.036000000000000004,-0.024,-0.1,0.1,-0.1,0.519,0.028999999999999998,-0.028999999999999998,0.582,0.016,-0.016,5.472,0.9003,-0.5285,DSEP,14.889,0.5483,0.5747,-0.42100000000000004,0.1182,223.953,1.413,-1.399,0,0,0,,q1_q17_dr25_stellar,2017-03-23,295.40854,49.9562,11111111111111111,PHO2,PHO2,PHO2,12.675,0.022,12.04,0.019,11.892,0.018000000000000002,0.8733,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,238.146,208.617,193.499,178.65,169.525,154.572,148.517,140.519,132.043,125.996,122.356,120.199,120.025,118.181,0.095,0.01,-0.012,0.8733,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.16021,-0.6509,11770410,2134947982794486528,3805,133,223.953,1.413,1.399,0.582,0.016,0.016,0.055,0,0,183.18,15.02,-16.9,0.511,0.028,-0.034
11770517,2MASS J19414930+4957108,3598,43.0,-48.0,4.834,0.036000000000000004,-0.027000000000000003,-0.1,0.1,-0.1,0.435,0.028999999999999998,-0.035,0.57,0.016,-0.016,8.396,1.642,-0.9415,DSEP,15.412,0.4724,0.7139,-0.4799,0.1097,244.96,2.531,-2.487,0,0,0,,q1_q17_dr25_stellar,2017-03-23,295.45544,49.953011,11111111111111111,PHO2,PHO2,PHO2,12.994000000000002,0.021,12.34,0.019,12.156,0.022,0.8735,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,333.24300000000005,295.685,277.328,257.74,244.977,222.845,214.301,202.484,190.389,181.591,177.149,171.398,169.77200000000005,164.42,0.079,0.009000000000000001,-0.011,0.8735,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.21129,-0.6274,11770517,2134971209977636736,3598,126,244.96,2.531,2.487,0.57,0.016,0.016,0.058,0,0,160.87,13.23,-14.89,0.418,0.027000000000000003,-0.036000000000000004
11774947,2MASS J19490551+4959405,3632,49.0,-54.0,4.849,0.036000000000000004,-0.036000000000000004,-0.2,0.1,-0.1,0.43,0.032,-0.039,0.49,0.014,-0.014,8.908999999999997,1.686,-1.288,DSEP,15.136,0.5328,0.7166,-0.6029,0.1737,179.092,0.919,-0.912,0,0,0,,q1_q17_dr25_stellar,2017-03-23,297.27298,49.99461,11111111111111111,PHO2,PHO2,PHO2,12.765,0.025,12.113,0.02,11.948,0.018000000000000002,0.8736,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,304.365,275.338,262.617,245.846,236.164,220.33900000000003,213.171,202.437,192.171,182.435,174.773,169.56900000000005,168.75799999999995,162.95600000000005,0.066,0.01,-0.01,0.8736,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.23987,-0.5255,11774947,2087262300937191424,3634,127,179.092,0.919,0.912,0.49,0.014,0.014,0.123,0,0,143.04,13.23,-14.71,0.408,0.03,-0.037000000000000005
11767303,2MASS J19360251+4957331,3612,57.0,-65.0,4.855,0.044,-0.036000000000000004,-0.2,0.1,-0.1,0.41700000000000004,0.038,-0.047,0.628,0.019,-0.019,9.262,2.225,-1.496,DSEP,15.802,0.5268,0.7185,-0.5912,0.1663,365.106,6.458,-6.253,0,0,0,,q1_q17_dr25_stellar,2017-03-23,294.0105,49.959221,11111111111111111,PHO2,PHO2,PHO2,13.445,0.02,12.844,0.022,12.685,0.027000000000000003,0.8735,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,431.779,384.839,362.442,336.691,319.16,290.506,278.951,262.692,244.735,232.4,224.541,218.774,217.776,211.83,0.099,0.013,-0.016,0.8735,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.20833,-0.63041,11767303,2135100230794577408,3611,126,365.106,6.458,6.253,0.628,0.019,0.019,0.064,0,0,188.88,20.74,-22.63,0.399,0.036000000000000004,-0.043
11701376,2MASS J19002939+4949188,3439,44.0,-44.0,4.901,0.035,-0.031,0.0,0.1,-0.1,0.35100000000000003,0.040999999999999995,-0.040999999999999995,0.456,0.013,-0.013,11.79,2.483,-1.709,DSEP,15.553,0.4431,0.7097,-0.3947,0.0596,172.696,1.227,-1.213,0,0,0,,q1_q17_dr25_stellar,2017-03-23,285.1225,49.821911,11111110111011101,PHO2,PHO2,PHO2,12.954,0.024,12.328,0.02,12.11,0.025,0.6967,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,382.083,336.7390000000001,314.228,289.278,273.319,247.092,236.417,220.555,204.505,193.4,185.407,179.233,178.01,170.162,0.053,0.01,-0.01,0.6967,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.26395,-0.67628,11701376,2132128422661414912,3438,120,172.696,1.227,1.213,0.456,0.013,0.013,0.04,0,0,124.08,13.33,-13.33,0.34700000000000003,0.031,-0.034
11701420,2MASS J19003561+4952576,3522,42.0,-47.0,4.848,0.038,-0.028,0.0,0.1,-0.1,0.41100000000000003,0.034,-0.037000000000000005,0.514,0.015,-0.015,9.054,1.92,-1.088,DSEP,15.119000000000002,0.4563,0.6713,-0.3574,0.0487,171.374,0.964,-0.956,0,0,0,,q1_q17_dr25_stellar,2017-03-23,285.14841,49.882671,11111110111011101,PHO2,PHO2,PHO2,12.598,0.024,11.925,0.018000000000000002,11.726,0.024,0.6971,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,312.766,274.025,254.7,234.39,221.367,198.745,189.667,175.72400000000005,160.784,150.60399999999996,143.441,136.975,135.375,126.295,0.054000000000000006,0.008,-0.009000000000000001,0.6971,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.34351,-0.69048,11701420,2132134607414334720,3522,123,171.374,0.964,0.956,0.514,0.015,0.015,0.03,0,0,125.46,11.3,-12.56,0.4,0.029,-0.036000000000000004
11775689,2MASS J19501958+4954282,3625,79.0,-86.0,4.789,0.063,-0.031,0.0,0.1,-0.1,0.467,0.040999999999999995,-0.055,0.499,0.014,-0.014,6.9289999999999985,2.256,-0.9739,DSEP,15.62,0.4918,0.6241,-0.3609,0.0636,222.985,1.81,-1.786,0,0,0,,q1_q17_dr25_stellar,2017-03-23,297.5816,49.90786,11111111111111111,PHO2,PHO2,PHO2,13.184,0.024,12.518,0.021,12.393,0.022,0.8736,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,558.8580000000002,490.56,456.007,421.216,399.455,362.207,346.755,323.6690000000001,297.939,277.625,264.297,253.539,251.456,241.668,0.103,0.016,-0.021,0.8736,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.30488000000000004,-0.6582100000000001,11775689,2087245670823896448,3620,127,222.985,1.81,1.786,0.499,0.014,0.014,0.095,0,0,193.99,22.63,-29.42,0.456,0.039,-0.056
11775907,2MASS J19503833+4959302,3776,60.0,-68.0,4.7639999999999985,0.03,-0.03,-0.1,0.1,-0.1,0.516,0.026000000000000002,-0.034,0.65,0.019,-0.019,6.042000000000002,0.8136,-0.6492,DSEP,15.537,0.5354,0.631,-0.488,0.1397,347.748,4.496,-4.395,0,0,0,,q1_q17_dr25_stellar,2017-03-23,297.65973,49.991741,11111111111111111,PHO2,PHO2,PHO2,13.276,0.023,12.679,0.016,12.484000000000002,0.028,0.8737,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,417.473,372.375,349.659,324.676,309.071,281.58,270.78700000000003,254.387,237.005,224.106,214.771,206.604,204.126,196.825,0.128,0.012,-0.012,0.8737,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.27272,-0.6249399999999999,11775907,2087252061734848384,3777,132,347.748,4.496,4.395,0.65,0.019,0.019,0.138,0,0,229.91,18.36,-18.36,0.494,0.027000000000000003,-0.029
11713884,2MASS J19295481+4949521,3722,74.0,-81.0,4.788,0.06,-0.04,-0.2,0.2,-0.2,0.47100000000000003,0.043,-0.052000000000000005,0.599,0.017,-0.017,6.8889999999999985,2.253,-1.1,DSEP,15.444,0.5587,0.6955,-0.631,0.1972,283.209,2.247,-2.218,0,0,0,,q1_q17_dr25_stellar,2017-03-23,292.47842,49.83115,11111111111111111,PHO2,PHO2,PHO2,13.204,0.025,12.497,0.033,12.294,0.025,0.8735,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,316.5,283.96,269.37,251.523,240.971,220.743,212.615,200.169,185.142,174.046,166.69,161.39600000000004,159.899,151.106,0.108,0.016,-0.019,0.8735,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.28584,-0.57467,11713884,2129887033850215552,3723,130,283.209,2.247,2.218,0.599,0.017,0.017,0.059,0,0,202.28,22.31,-29.75,0.458,0.044,-0.054000000000000006
11760021,2MASS J19200978+4954168,3499,45.0,-45.0,4.862,0.035,-0.028,0.0,0.1,-0.1,0.396,0.034,-0.038,0.512,0.015,-0.015,9.696,1.879,-1.308,DSEP,15.827,0.4485,0.6824,-0.358,0.046,234.256,2.413,-2.371,0,0,0,,q1_q17_dr25_stellar,2017-03-23,290.04077,49.904678,01111111111111111,PHO2,PHO2,PHO2,13.26,0.027000000000000003,12.621,0.03,12.419,0.024,0.8659,1420.672,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,633.158,593.389,586.685,565.688,552.946,525.6,512.805,496.454,478.983,464.17,452.899,442.449,440.533,430.644,0.08,0.01,-0.012,0.8659,1420.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.15597,-0.31404,11760021,2133020538908588288,3494,122,234.256,2.413,2.371,0.512,0.015,0.015,0.047,0,0,162.13,15.26,-16.95,0.386,0.032,-0.032
